"ind" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "spp" "spp.1" "clade" "spp.2" "clade.1"
"49" "DC_AUHT-5695_georgia_CoffeeCo_SappsStill_sorted" -0.0186779 -0.0710584 -0.00460396 0.0995743 -0.212399 -0.0390717 0.007669 -0.0378407 -0.0352813 0.0178754 "West" "West" "Atlantic" "West" "Atlantic"
"50" "DC_AUHT-5698_georgia_CoffeeCo_Pridgen_sorted" -0.0266629 -0.0885917 0.0170395 0.111979 -0.377154 -0.0242915 -0.0293192 -0.0389303 -0.0416358 -0.277472 "West" "West" "Atlantic" "West" "Atlantic"
"51" "DC_AUHT-5706_georgia_WheelerCo_LumberCity_sorted" -0.0338546 -0.0899112 0.135127 -0.131365 0.0132565 0.0315477 -0.00802714 -0.0193409 0.0107448 -0.0236367 "West" "West" "Atlantic" "West" "Atlantic"
"52" "DC_AUHT-5713_georgia_WheelerCo_LumberCity_sorted" -0.0285073 -0.078751 0.0827864 -0.139767 -0.00694303 0.00646239 0.0646946 0.0231627 0.0195645 -0.0247514 "West" "West" "Atlantic" "West" "Atlantic"
"53" "DC_AUHT-5716_georgia_WheelerCo_LumberCity_sorted" -0.0338955 -0.0944636 0.142141 -0.16756 0.00284784 -0.0172469 0.0201097 -0.000766341 -0.0326611 0.12546 "West" "West" "Atlantic" "West" "Atlantic"
"54" "DC_AUHT-5725_georgia_WheelerCo_LumberCity_sorted" -0.0364623 -0.0856354 0.0836516 -0.104699 0.0193578 0.00067389 -0.0114679 0.00117279 0.00805082 0.0385358 "West" "West" "Atlantic" "West" "Atlantic"
"55" "DC_AUHT-5727_georgia_TelfairCo_McRaeHelena_sorted" -0.0175415 -0.0988782 0.0813216 0.0703425 -0.0924475 0.0175196 0.0714505 0.0370752 -0.0794901 0.131068 "West" "West" "Atlantic" "West" "Atlantic"
"56" "DC_AUHT-5729_georgia_TelfairCo_Snipesville_sorted" -0.0277397 -0.0729632 0.083109 0.0889258 -0.0525251 0.0102735 0.0254155 0.0419163 0.0471528 -0.0239956 "West" "West" "Atlantic" "West" "Atlantic"
"57" "DC_AUHT-5734_georgia_TelfairCo_Jacksonville_sorted" -0.0273861 -0.0882542 0.0587632 0.0865165 -0.0482787 0.0361775 0.0835223 0.0400126 -0.0193156 0.0752948 "West" "West" "Atlantic" "West" "Atlantic"
"58" "DC_AUHT-5735_georgia_BryanCo_Southward_sorted" -0.101226 0.102666 -0.000418019 0.0078203 -0.00965612 -0.00745073 0.0605074 0.011824 -0.0256332 0.023138 "East" "East" "Atlantic" "East" "Atlantic"
"59" "DC_AUHT-5744_georgia_WheelerCo_LumberCity_sorted" -0.0382319 -0.0506735 0.0970349 -0.129308 -0.0267737 -0.0260718 0.00287499 -0.00675524 -0.0240442 0.0165725 "West" "West" "Atlantic" "West" "Atlantic"
